text,sentiment
geosolutions technology leverage benefon gps solutions providing location based search technology communities platform location relevant multimedia content new powerful commercial model,positive
esi lows bk real possibility,negative
last quarter componenta net sales doubled eurm eurm period year earlier moved zero pretax profit pretax loss eurm,positive
according finnishrussian chamber commerce major construction companies finland operating russia,neutral
swedish buyout firm sold remaining percent stake almost eighteen months taking company public finland,neutral
spy wouldnt surprised see green close,positive
shells billion bg deal meets shareholder skepticism,negative
ssh communications security corp stock exchange release october pm company updates full year outlook estimates results remain loss full year,negative
kone net sales rose yearonyear first nine months,positive
stockmann department store total floor space square metres stockmann investment project price tag eur million,neutral
circulation revenue increased finland sweden,positive
sap q disappoints software licenses real problem cloud growth trails msft orcl goog crm adbe,negative
subdivision made sales revenues last year eur million eur million operating profits eur million eur million,positive
viking line canceled services,neutral
ahlstrom corporation stock exchange announcement total new shares ahlstrom corporation subscribed option rights company stock option programs ii,neutral
fb gone green day,positive
msft sql server revenue grew doubledigit sql server premium revenue growing,positive
according lnnen tehtaat ceo matti karppinen company aims deliver fish products customers day earlier currently,neutral
company share quoted nasdaq omx helsinki rautaruukki oyj rtrks,neutral
elcoteq se listed nasdaq omx helsinki ltd,neutral
two contracts turntable anode vibrocompactors delivered gansu hualu aluminum co ltd another unnamed costumer,neutral
aviva friends life top forecasts ahead billion pound merger,positive
stead based soft drink usual teho energy drink made fresh water,neutral
company plans increase unit specialist staff several dozen depending market situation,neutral
company closed last year turnover four million euros,neutral
shire ceo steps drive get baxalta board talking,positive
costco premier retail dividend play cost,positive
fivestorey ecoefficient building gross floor area sq also include apartments,neutral
first installment cinema series concludes profile finnish inventor olavi linden whose personal artistic journey work fiskars led dozens design awards,neutral
welcome,neutral
stockmann swedish sector company ab lindex entered agreement september whereby stockmann whollyowned subsidiary make public tender offer lindex issued shares,positive
huhtamaki oyj stock exchange release huhtamaki capital markets day institutional investors analysts held espoo september starting pm finnish time,neutral
pleased welcome tapeks noma cramo group,positive
profit taxes eur million,neutral
royal dutch shell buy bg group nearly billion,positive
financialwire tm press release service receives compensation news opinions distributions,neutral
assa abloy kaupthing bank gave neutral recommendation share price target crowns euro swedish lock maker assa abloy ab,neutral
item included restructuring costs eur year earlier eur diluted eps stood eur versus loss per share eur,positive
bank posted net profit lt mn,neutral
aapl afternoon selloff usual brutal get ready lose ton money,negative
tsla recalling pretty much every single model x cnnbrk got short even work jump money trade,negative
dolce gabbana asked european union declare marimekko corporation unikko floral pattern trademark invalid continuing dispute two companies,negative
intercontinental hotels firstquarter global room revenue lags estimates,negative
according finnish pension insurance company varma varma recipient two thirds revenue earningsrelated pension cover competitive tendering finland,positive
portion million recorded part winnings prior patent dispute finnish phone maker nokia oyj,positive
lg still paying price dividend cut crisis chief says,negative
volume investments two phases project estimated usd mn eur mn,neutral
russia accounted lagardere magazine division revenue eur mn usd mn usa,neutral
company also estimates already carried investments lead increase net sales reached eur million,positive
profit accounting period eur mn,neutral
six breweries recorded percent growth domestic beer sales last year million liters million liters sold,positive
augustoctober company result taxes totalled eur mn eur mn corresponding period,positive
systeemitiimi sales project resources also strengthened director paul skogberg said,positive
tesco share price jumps q sales top estimates,positive
fine print,neutral
price logs clearly improved also price pulpwood gone,positive
thus sysopen digia accordance chapter section finnish companies act obtained title shares sentera redeemed,neutral
diluted earnings per share eps fell eur eur,neutral
pm eastern time block contracts changed hands bid price,neutral
recent technology deliveries include refinery technology anrak aluminium iron ore pelletizing plant tata steel iron ore sintering plants bhushan steel,neutral
vips similar pattern like beginning may u sell nowwill go much higher drop,positive
firm generated sales mln eur,neutral
stora enso also meetings labor authorities employment economic development centres representatives government order find solutions,neutral
astrazeneca profit sales stalwarts fade,negative
rt andrewnyquist chartology yahoo yhoo crazy looking chart nearing breakout resistance line,positive
bullish stocks twitter dip yhoo gdx googl stz gold ew vz celg sbux scty,positive
finnish geosentric net sales decreased eur januarymarch,negative
cohen steers inc shares representing share capital voting rights,neutral
staff recruited japan complement network close service locations countries worldwide,positive
paper companies negative territories stora enso r shedding pct eur upmkymmene pct eur mreal b pct lower eur,neutral
kaukotelko centralized administration dissolved appropriate parts transferred operating activities group administration end year,neutral
operating profit quarter apriljune amounted eur sales eur bn,neutral
atria chose delight attract consumers age group atria fresh range microwaveable meals,neutral
finnish solutions provider affecto oyj hel afev said today slipped net loss eur usd second quarter profit eur corresponding period year earlier,neutral
us sanctions put gazpromshell alliance plans jeopardy,negative
profit period eur mn eur mn,neutral
profit period eur mn eur mn,positive
operating profit fell eur mn eur mn second quarter,neutral
however sales returned growth apriljune ceo pekka eloholma said,positive
operating profit totaled eur mn net sales,neutral
changes market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant according company,negative
connection deal digia employ persons nokia oslo silicon valley usa,neutral
brazilian unit finnish security solutions provider fsecure signed new clients last year online news source reseller web quoted division commercial director vladimir brando saying,positive
fair value company investment properties went eur billion end eur billion year earlier,neutral
dealers said share largely hit investor disappointment refining margin usd per barrel quarter performance shipping unit saw ebit drop mln eur mln eur year amid fall volumes tanker rates,negative
testament quality lte solution commitment japanese market added,neutral
companies aim finalize negotiations sign contracts start october,neutral
metso foundries jyvaskyla oy discontinue production line september company said,neutral
total six polled analysts rated mreal two gave buy accumulate three gave hold one gave sell,neutral
september finnish group agreed buy danish company rose poultry eur combination cash stock,positive
yang double bottom,positive
tesco share price grocer faces sfo investigation outcome,negative
aapl news becoming bullish,positive
gs engineering install valves liquefied natural gas lng plant built uae lng extraction gas plants operator gasco ruwais uae,neutral
percentages shares voting rights calculated proportion total number shares registered trade register total number voting rights related,neutral
mreal said grounds rumors circulating market months,neutral
lember said matter topical also estonia bill drafted social affairs ministry would scrap oldage pensions favorable conditions,neutral
moody said gave p longterm senior unsecured p p shortterm debt ratings finnish lender aktia bank eurbn usd bn euro mediumterm note emtn program march,neutral
tsla recall,negative
liquidity providing interrupted may aspocomp group oyj shares traded cent aspocomp stock exchange release,neutral
hargreaves lansdown bucks weak markets see assets rise percent,positive
pm omx helsinki index pct lower,negative
decision means temporary layoffs fixed duration company nastola jyvaskyla units southern central finland respectively,neutral
value orders eur mn,neutral
ms laakso responsible hkscan hr functions development group smarket areas,neutral
fiskars also engaged global supply marine energy equipment solutions services associated company wartsila corporation,neutral
aberdeen asset management gains foothold china,positive
finland dominating rail company vr planning set infected passengers longdistance trip separate carriage,neutral
november finnish government decreased ownership company percent percent,neutral
finnish exel composites technology company designs manufactures markets composite profiles tubes various industrial applications reports net sales decreased second quarter eur mn eur mn corresponding period,neutral
bavelloni nst joint ventures bavelloni tools completes semiproducts produced italy highquality tools sold diapol brand,neutral
tool patent pending design allows consumers lay entire project removable plate using multiple clear stamps kind,neutral
googl short upper bb overbought,negative
lights curfew curl latest bestseller treat eyes perfect reading light luceplan,neutral
upmkymmene corp world largest maker magazine paper tuesday reported percent profit drop lower paper prices higher costs strong euro hurt revenue,negative
total value contract eur million,neutral
prerequisite inclusion program receipt gains key employees acquire aspo shares amount determined board advance maximum,neutral
mr doring eaton since acted business unit manager eaton power controls business unit since january,neutral
sq sq ft store copenhagen premier shopping district inaugurated today strengthening company presence nordic capitals,positive
financial statement first quarter tikkurila reported discontinued operations,neutral
world second largest stainless steel maker said net profit threemonth period dec surged euro million us million euro us per share euro million euro per share previous year,positive
name applicant jot automation oyname inventor mammila tuomo piirainen mika kellokoski mikaapplication kolnp adate filing application publication date,neutral
netflix grows efforts create loyal customers nflx,positive
omx nordic omxn index comprising traded nordic stocks nasdaq omx exchange closed points thursday,negative
aapl nibbling small long via buying min charts,positive
operating margin aker yards cruise ferries division went first quarter,negative
tyc break new highs lots technicals looking great right,positive
eero katajavuori currently group vice president human resources take yearlong sabbatical starting october,neutral
whats lulu numbers looked good great good think conference call instill confidence,neutral
adjustment measures carried phases secure delivery capability,neutral
alma media corporation press release march tyrvaan sanomat paikallissanomat bought suomen paikallissanomat two local papers tyrvaan sanomat paikallissanomat appearing sastamala neighbouring municipalities bought suomen paikallissanomat oy,neutral
temporary layoffs affecting entire workforce also implemented,negative
meeting media analysts held day stonesoft headquarters helsinki italahdenkatu interim report presented stonesoft ceo ilkka hiidenheimo,neutral
finnish samporosenlew manufactures approximately seven forest machines monthly half machines exported,neutral
facebook near buy point last week faces different technical test today fb aapl nflx,positive
february finnish broadband data communication systems provider teleste oyj hel tltv said wednesday net profit rocketed eur eur lifted dividend proposal,positive
free ha heeeeeere comes pump glad picked k end day get ready bull ride,positive
finnish technology group aspocomp group oyj omx helsinki acgv issued third quarter report thursday november posting operating profit eur compared loss eur third quarter,positive
building complex consists highquality office retail space totalling square metres company said,neutral
finnish insurance company fennia kesko group ending loyal customer cooperation,neutral
unit planned operational second half full stream,neutral
itg share deal estimated euro,neutral
plant expected enter commercial operation mid,neutral
aspo also investigated sales opportunities kaukomarkkinat electronics business,neutral
bg group appoints new ceo one month early,neutral
acquisition immediate positive impact aspocomp financial result,positive
finnair passenger load factor measures number sold seats share available seats dropped percentage points september,negative
rt bman lng looks primed also eght poised run,positive
also pct month volume weighted average price stock,positive
coke dividend google dividend passive income coke takes goog ko,neutral
profit taxes eur mn eur mn year earlier,positive
subsidiary setting facility manufacturing highdensity interconnection printed circuit boards pcbs nokia special economic zone sriperumbudur near chennai,neutral
crm sep calls since entry bang,positive
januaryjune diluted loss per share stood eur versus eur first half,negative
rapala said estimates make savings mln eur year centralising french operations one site,positive
vmw got nice push today following small sweepers may c morning,positive
topped consensus forecasts earnings euros share,positive
rd loan,neutral
future company intends look knowhow outside company cooperate actors sector,positive
need ready window opens rosberg said,neutral
tonnes asphalt mix used contract,neutral
pa jpmorgan chase co nyse jpm pohjoa bank joint leadmanagers senior unsecured deal,neutral
ctrp breaking good vol parser buy signal noticed bob langs comments looking fast,positive
sales finland decreased january sales outside finland dropped,neutral
pulp production finnish kemijrvi also liquidated employees loose jobs,negative
nordea cheapest also couple debt,neutral
jussi pesonen member sampo board since renounce seat sampo board,neutral
tesla recalling model x cars tsla,negative
adjusted changes group structure division net sales increased,positive
making matters difficult company said grappling higher oil gas prices pushed cost energy raw materials transportation,neutral
amending proposal simplifies proposed plan increases incentive key employees stay company,positive
solution expanded include ground staff tasks,neutral
operating loss totalled eur mn compared profit eur mn third quarter,negative
fedday looking sharp move equities aapl hd low fb seeing uvxy tvix getting hammered even though market,positive
net sales totaled eur mn eur mn corresponding period,positive
consequence works council withdrawn petition suspend reorganisation,neutral
ceo erkki jrvinen happy company performance,positive
comparable net sales expected increase line group target,positive
following transaction lundbeck worldwide rights nalmefene excluding north america mexico turkey southkorea,positive
government started selloff last month putting percent stake teliasonera auction bloc,neutral
report goes provide detailed profiles ten leading european specialty chemicals companies brief profiles major players,neutral
operating profit net sales threemonth period increased respectively eur eurm compared corresponding quarter,positive
company expects net sales whole previous year levels,neutral
company headquartered sievi finland listed nordic exchange helsinki,neutral
commission income increased eur mn lending volume rose,positive
finnish company sold uk operation consisting staff offices london birmingham manchester part deal hampden july europeanwide property casualty arm sampo industrial,neutral
building home improvement trade sales decreased eur mn,negative
innova building located close downtown immediate vicinity paviljonki travel center within walking distance heart city thanks trade fair bridge,neutral
finnish textiles clothing group marimekko oyj posted net profit mln euro mln compared mln euro mln,neutral
main strength cooperation project lies merging knowhow two large companies,positive
shareholders right put agenda agm items within competence general meeting,neutral
kazgiprotsvetmet outotec finland signed agreement strategic cooperation marketing providing minerals processing metallurgical plants related services kazakhstan surrounding countries,positive
due rapid decrease net sales personnel reductions carried wider scale initially expected,neutral
government instead proposed exchange state stake lmt teliasonera stake lattelecom,neutral
stora due release fourthquarter fullyear earnings feb,neutral
fullyear operating result million negative,neutral
nq got hit hard lower looks like found support,negative
avc systemhaus net sales eur million usd,neutral
company established g base station feet foot mount everest enable mountain climbers foot summit surf internet even send videos exploits,positive
offer customers solutions based renewable raw materials,neutral
survey conducted taloustutkimus sampo life shows companies badly prepared losing key staff members,neutral
antti orkola president kemira growhow industrial solutions unit told thomson financial news company put opening mine prices phosphate quite depressed long time,neutral
pretax profit group life insurance business increased eurm eurm,positive
make available following brandnew market analyses cement pakistan cement malaysia cement taiwan cement philippines analyses give clear overview actual situation future outlook cement industry asian countries,neutral
company serves approximately customers countries,neutral
rt alphatrends vmarkets still acting weak spy qqq xlf smh iwm,negative
operating profit totalled eur mn eur mn year earlier,neutral
one installed elevators doubledeck elevator enables efficient use building core space,positive
helsinki afx outokumpu said agreed sell hitura nickel mine finland canadian group belvedere resources ltd mln eur worth belvedere shares,neutral
went long ilmn,positive
social networking locationbased service trends comprise significant share internet traffic today appealing mid users,neutral
total order value booked fourth quarter remainder booked second quarter,neutral
johnson matthey share price slumps company posts fullyear results,negative
previous share subscriptions stock options,neutral
affectogenimap builds highly customised solutions customers finland baltic countries,neutral
closing transaction scheduled take place january,neutral
however offering probably made current valuation partly derives deal company merged stock market shell,neutral
operating result month period decreased profit eur turnover decreased eur compared,neutral
administrators indicated need job cuts irish insurer next months,neutral
net sales expected level,neutral
technical indicators stock bullish sp gives nok positive stars buy ranking,positive
revenue quarter totaled billion percent billion fourth quarter,negative
nviro operates processing facilities independently well partnership municipalities,neutral
number bodily injury cases quadrupled,negative
according ringman finnish paper companies acquired knowhow capacity paper recycling turned successful strategy,positive
company also said poland profitability program launched oborniki steel frame sandwich panel plant,positive
us energy executives say high steel prices threatening energy exploration,negative
tesco sales rise shows tentative recovery continues,positive
finland launch tiein sales g mobile phones cause dramatic rush mobile retail outlets first days,neutral
nuan held well big gains maybe finally move thisits still undervalued major upside,positive
company split two parts coming months essent owning operating production supply enexis owning operating grid,neutral
officials disclose contract value,neutral
london leading shares today jumped almost points market opened,positive
third quarter fiscal efore swung net loss eur versus net profit eur corresponding period fiscal,neutral
group operating loss eur mn profit eur mn,neutral
move triggered weak demand forestry equipment uncertain market situation,negative
combined company proforma net sales mln euro mln operating profit mln euro mln,neutral
